-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.206ms         0.00%       1.206ms       1.515us           796  
        vllm::qwen_gdn_attention_core_fused_norm_packed         0.15%      47.370ms         0.42%     130.770ms       1.362ms       1.184ms         0.00%       7.689ms      80.095us            96  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.180ms         0.00%       1.180ms       8.080us           146  
                                     aten::floor_divide         0.02%       6.244ms         0.06%      17.383ms      20.868us       1.173ms         0.00%       1.177ms       1.413us           833  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.173ms         0.00%       1.173ms       1.499us           783  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.166ms         0.00%       1.166ms       8.099us           144  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       1.124ms         0.00%       1.124ms       4.339us           259  
                                           aten::clamp_         0.02%       6.614ms         0.04%      13.610ms      17.382us     983.511us         0.00%     989.783us       1.264us           783  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     983.511us         0.00%     983.511us       1.256us           783  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     940.794us         0.00%     940.794us       1.200us           784  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 31.196s
Self CUDA time total: 32.932s

