-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_poi_fused_mul_per_token_group_fp8_quant_sigmo...         0.00%       0.000us         0.00%       0.000us       0.000us      42.706ms         0.13%      42.706ms      24.714us          1728  
triton_poi_fused_mul_per_token_group_fp8_quant_sigmo...         0.01%       2.636ms         0.17%      46.685ms     243.150us      40.572ms         0.12%      57.949ms     301.818us           192  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      36.124ms         0.11%      36.124ms     334.479us           108  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us      32.898ms         0.10%      32.898ms      19.038us          1728  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      31.440ms         0.09%      31.440ms       6.968us          4512  
                           _causal_conv1d_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      30.499ms         0.09%      30.499ms       6.619us          4608  
                                     triton_poi_fused_5         0.01%       3.802ms         0.38%     101.934ms     530.907us      29.446ms         0.09%      47.678ms     248.324us           192  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us      22.304ms         0.07%      22.304ms      12.908us          1728  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      21.803ms         0.06%      21.803ms      29.543us           738  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us      21.472ms         0.06%      21.472ms      12.426us          1728  
                                     triton_red_fused_3         0.01%       1.869ms         0.08%      20.514ms     106.842us      19.976ms         0.06%      29.241ms     152.295us           192  
                                     triton_poi_fused_2         0.01%       1.984ms         0.15%      39.491ms     205.683us      19.637ms         0.06%      30.421ms     158.440us           192  
                                            aten::index         0.08%      20.681ms         3.33%     901.861ms       1.130ms      19.613ms         0.06%      35.858ms      44.935us           798  
                                           aten::argmax         0.01%       2.898ms         0.40%     109.374ms     719.566us      18.992ms         0.06%      20.852ms     137.183us           152  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      18.905ms         0.06%      18.905ms     175.049us           108  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us      17.135ms         0.05%      17.135ms       9.916us          1728  
                                 aten::_index_put_impl_         0.05%      13.308ms         4.29%        1.160s       1.007ms      16.725ms         0.05%      32.518ms      28.227us          1152  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.725ms         0.05%      16.725ms      29.036us           576  
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      14.075ms         0.04%      14.075ms       2.815ms             5  
                  _C_cache_ops::reshape_and_cache_flash         0.01%       2.667ms         2.54%     686.447ms       3.575ms      11.533ms         0.03%      18.851ms      98.184us           192  
                                            aten::fill_         0.04%      10.703ms         2.22%     599.670ms     229.671us      10.892ms         0.03%      13.608ms       5.212us          2611  
                               triton_poi_fused_zeros_2         0.00%       0.000us         0.00%       0.000us       0.000us      10.670ms         0.03%      10.670ms       3.087us          3456  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.462ms         0.03%      10.462ms      18.163us           576  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      10.247ms         0.03%      10.247ms       2.562ms             4  
