-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::bitwise_not         0.22%      16.425ms         3.01%     229.956ms       1.179ms     304.576us         0.00%     440.475us       2.259us           195  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     304.576us         0.00%     304.576us       1.586us           192  
                               triton_poi_fused_zeros_0         0.00%       0.000us         0.00%       0.000us       0.000us     186.526us         0.00%     186.526us      26.647us             7  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     182.784us         0.00%     182.784us       1.121us           163  
                               triton_poi_fused_zeros_0         0.00%      55.866us         0.00%      96.893us      24.223us     181.950us         0.00%     181.950us      45.487us             4  
                                        reduce_segments         0.00%       0.000us         0.00%       0.000us       0.000us     107.839us         0.00%     107.839us       2.247us            48  
                                           Buffer Flush         0.00%      68.168us         0.00%      68.168us      68.168us      90.112us         0.00%      90.112us      90.112us             1  
                                              aten::sub         0.01%     956.725us         0.17%      12.726ms     133.956us      66.658us         0.00%      81.410us       0.857us            95  
                                           aten::argmax         0.00%     156.175us         0.00%     338.436us      48.348us      59.200us         0.00%      68.064us       9.723us             7  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      53.984us         0.00%      53.984us       7.712us             7  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      51.842us         0.00%      51.842us       1.296us            40  
                                              aten::add         0.01%     540.166us         0.11%       8.458ms     159.583us      48.097us         0.00%      59.329us       1.119us            53  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      43.966us         0.00%      43.966us       6.281us             7  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      42.400us         0.00%      42.400us       2.019us            21  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      35.388us         0.00%      35.388us       1.106us            32  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.639s
Self CUDA time total: 7.505s

